r_id,resource,region,existing_cap_mw,num_units,cap_size,var_om_cost_per_mwh,var_om_cost_per_mwh_in,fuel,heat_rate_mmbtu_per_mwh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,min_power,ramp_up_percentage,ramp_dn_percentage,start_cost_per_mw,start_fuel_mmbtu_per_mw,up_time,down_time,self_disch,eff_up,eff_down,ratio_power_to_energy,min_duration,max_duration,cluster,stor,fuel_cost,co2_content_tons_per_mmbtu,is_variable,gen_full,cf,varcost,cap
2,hydroelectric_pumped_storage,WEC_SDGE,42.0,2,21.0,0.0,0,None,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0,0,0,0.866,0.866,0.0063,0,0,1,1,0.0,0.0,false,wec_sdge_hydroelectric_pumped_storage_1.0,1.0,0.0,42.0
23,onshore_wind_turbine,WEC_SDGE,217.6,3,64.67,0.0,0,None,9.12,0.0,0.0,0.0,1.0,1.0,0,0.0,0,0,0,1.0,1.0,1.0,0,0,1,0,0.0,0.0,true,wec_sdge_onshore_wind_turbine_1.0,0.3006,0.0,65.41055999999999
24,small_hydroelectric,WEC_SDGE,7.32,6,1.22,0.0,0,None,9.12,0.002,0.001,0.385,1.0,1.0,0,0.0,0,0,0,1.0,1.0,1.0,0,0,1,0,0.0,0.0,true,wec_sdge_small_hydroelectric_1.0,0.4351,0.0,3.184932
25,solar_photovoltaic,WEC_SDGE,500.0,20,8.48,0.0,0,None,9.16,0.0,0.021,0.0,1.0,1.0,0,0.0,0,0,0,1.0,1.0,1.0,0,0,1,0,0.0,0.0,true,wec_sdge_solar_photovoltaic_1.0,0.5695,0.0,284.75
1,biomass,WEC_SDGE,21.4,20,1.07,5.234,0,None,12.76,1.471,4.147,0.71,1.0,1.0,0,0.0,0,0,0,1.0,1.0,1.0,0,0,1,0,0.0,0.0,false,wec_sdge_biomass_1.0,1.0,5.234,21.4
6,natural_gas_fired_combined_cycle,WEC_SDGE,570.0,1,570.0,3.4,0,pacific_naturalgas,7.15,0.0,0.0,0.351,0.4,0.4,87,2.0,6,6,0,1.0,1.0,1.0,0,0,4,0,2.57,0.05306,false,wec_sdge_natural_gas_fired_combined_cycle_4.0,1.0,21.775499999999997,570.0
3,natural_gas_fired_combined_cycle,WEC_SDGE,607.1,1,607.1,3.4,0,pacific_naturalgas,7.52,0.0,0.0,0.362,0.4,0.4,87,2.0,6,6,0,1.0,1.0,1.0,0,0,1,0,2.57,0.05306,false,wec_sdge_natural_gas_fired_combined_cycle_1.0,1.0,22.726399999999995,607.1
5,natural_gas_fired_combined_cycle,WEC_SDGE,49.4,1,49.4,4.3,0,pacific_naturalgas,9.73,0.0,0.0,0.5,0.4,0.4,87,2.0,6,6,0,1.0,1.0,1.0,0,0,3,0,2.57,0.05306,false,wec_sdge_natural_gas_fired_combined_cycle_3.0,1.0,29.3061,49.4
4,natural_gas_fired_combined_cycle,WEC_SDGE,30.0,1,30.0,4.3,0,pacific_naturalgas,10.05,0.0,0.0,0.55,0.4,0.4,87,2.0,6,6,0,1.0,1.0,1.0,0,0,2,0,2.57,0.05306,false,wec_sdge_natural_gas_fired_combined_cycle_2.0,1.0,30.128500000000003,30.0
7,natural_gas_fired_combined_cycle,WEC_SDGE,336.0,3,112.0,10.8,0,pacific_naturalgas,10.03,0.0,0.0,0.446,3.78,3.78,113,3.5,1,1,0,1.0,1.0,1.0,0,0,5,0,2.57,0.05306,false,wec_sdge_natural_gas_fired_combined_cycle_5.0,,36.5771,336.0
8,natural_gas_fired_combined_cycle,WEC_SDGE,336.0,3,112.0,10.8,0,pacific_naturalgas,10.1,0.0,0.0,0.446,3.78,3.78,113,3.5,1,1,0,1.0,1.0,1.0,0,0,6,0,2.57,0.05306,false,wec_sdge_natural_gas_fired_combined_cycle_6.0,,36.757,336.0
10,natural_gas_fired_combustion_turbine,WEC_SDGE,49.9,1,49.9,10.8,0,pacific_naturalgas,10.48,0.0,0.0,0.487,3.78,3.78,113,3.5,1,1,0,1.0,1.0,1.0,0,0,2,0,2.57,0.05306,false,wec_sdge_natural_gas_fired_combustion_turbine_2.0,1.0,37.733599999999996,49.9
13,natural_gas_fired_combustion_turbine,WEC_SDGE,96.6,3,32.2,10.8,0,pacific_naturalgas,10.5,0.0,0.0,0.932,3.78,3.78,113,3.5,1,1,0,1.0,1.0,1.0,0,0,5,0,2.57,0.05306,false,wec_sdge_natural_gas_fired_combustion_turbine_5.0,1.0,37.785,96.6
9,natural_gas_fired_combustion_turbine,WEC_SDGE,91.6,2,45.8,10.8,0,pacific_naturalgas,10.69,0.0,0.0,0.8,3.78,3.78,113,3.5,1,1,0,1.0,1.0,1.0,0,0,1,0,2.57,0.05306,false,wec_sdge_natural_gas_fired_combustion_turbine_1.0,1.0,38.2733,91.6
11,natural_gas_fired_combustion_turbine,WEC_SDGE,48.1,1,48.1,10.8,0,pacific_naturalgas,11.04,0.0,0.0,0.437,3.78,3.78,113,3.5,1,1,0,1.0,1.0,1.0,0,0,3,0,2.57,0.05306,false,wec_sdge_natural_gas_fired_combustion_turbine_3.0,1.0,39.172799999999995,48.1
21,natural_gas_fired_combustion_turbine,WEC_SDGE,51.3,1,51.3,10.8,0,pacific_naturalgas,11.08,0.0,0.0,0.409,3.78,3.78,113,3.5,1,1,0,1.0,1.0,1.0,0,0,13,0,2.57,0.05306,false,wec_sdge_natural_gas_fired_combustion_turbine_13.0,,39.2756,51.3
22,natural_gas_fired_combustion_turbine,WEC_SDGE,51.3,1,51.3,10.8,0,pacific_naturalgas,11.12,0.0,0.0,0.409,3.78,3.78,113,3.5,1,1,0,1.0,1.0,1.0,0,0,14,0,2.57,0.05306,false,wec_sdge_natural_gas_fired_combustion_turbine_14.0,,39.3784,51.3
17,natural_gas_fired_combustion_turbine,WEC_SDGE,98.2,2,49.1,10.8,0,pacific_naturalgas,11.15,0.0,0.0,0.0,3.78,3.78,113,3.5,1,1,0,1.0,1.0,1.0,0,0,9,0,2.57,0.05306,false,wec_sdge_natural_gas_fired_combustion_turbine_9.0,1.0,39.4555,98.2
18,natural_gas_fired_combustion_turbine,WEC_SDGE,98.2,2,49.1,10.8,0,pacific_naturalgas,11.2,0.0,0.0,0.0,3.78,3.78,113,3.5,1,1,0,1.0,1.0,1.0,0,0,10,0,2.57,0.05306,false,wec_sdge_natural_gas_fired_combustion_turbine_10.0,1.0,39.583999999999996,98.2
19,natural_gas_fired_combustion_turbine,WEC_SDGE,48.9,1,48.9,10.8,0,pacific_naturalgas,11.22,0.0,0.0,0.654,3.78,3.78,113,3.5,1,1,0,1.0,1.0,1.0,0,0,11,0,2.57,0.05306,false,wec_sdge_natural_gas_fired_combustion_turbine_11.0,1.0,39.635400000000004,48.9
20,natural_gas_fired_combustion_turbine,WEC_SDGE,48.9,1,48.9,10.8,0,pacific_naturalgas,11.3,0.0,0.0,0.654,3.78,3.78,113,3.5,1,1,0,1.0,1.0,1.0,0,0,12,0,2.57,0.05306,false,wec_sdge_natural_gas_fired_combustion_turbine_12.0,1.0,39.841,48.9
16,natural_gas_fired_combustion_turbine,WEC_SDGE,48.7,1,48.7,10.8,0,pacific_naturalgas,11.46,0.0,0.0,0.329,3.78,3.78,113,3.5,1,1,0,1.0,1.0,1.0,0,0,8,0,2.57,0.05306,false,wec_sdge_natural_gas_fired_combustion_turbine_8.0,1.0,40.2522,48.7
14,natural_gas_fired_combustion_turbine,WEC_SDGE,4.8,1,4.8,10.8,0,pacific_naturalgas,12.13,0.0,0.0,0.583,3.78,3.78,113,3.5,1,1,0,1.0,1.0,1.0,0,0,6,0,2.57,0.05306,false,wec_sdge_natural_gas_fired_combustion_turbine_6.0,1.0,41.9741,4.8
15,natural_gas_fired_combustion_turbine,WEC_SDGE,17.3,2,8.65,10.8,0,pacific_naturalgas,13.57,0.0,0.0,0.809,3.78,3.78,113,3.5,1,1,0,1.0,1.0,1.0,0,0,7,0,2.57,0.05306,false,wec_sdge_natural_gas_fired_combustion_turbine_7.0,1.0,45.674899999999994,17.3
12,natural_gas_fired_combustion_turbine,WEC_SDGE,34.6,1,34.6,10.8,0,pacific_naturalgas,16.86,0.0,0.0,0.954,3.78,3.78,113,3.5,1,1,0,1.0,1.0,1.0,0,0,4,0,2.57,0.05306,false,wec_sdge_natural_gas_fired_combustion_turbine_4.0,1.0,54.1302,34.6
